Num,Most Asked “Space” Question Keywords,Intent,Subtopic
1,how long does it take to get to mars,Mars,Distance
2,what does nasa stand for,Nasa,Summary
3,how far is mars from earth,Mars,Distance
4,how long would it take to get to mars,Mars,Distance
5,how many moons does mars have,Mars,Satellites
6,is there life on mars,Mars,Life
7,what is an asteroid,Asteroid,Summary
8,how to become an astronaut,Astronaut,Application
9,can you hear sounds in space,Astrophysics,Sound
10,what is the temperature on mars,Mars,Temp
11,how many satellites orbit earth,Satellites,Count
12,is space a vacuum,Astrophysics,Space
13,why is mars red,Mars,Color
14,when will mars be visible,Mars,Night Sky
15,how big is mars,Mars,Size
16,what is the atmosphere,Astrophysics,Atmosphere
17,is mars bigger than earth,Mars,Size
18,how long is a year on mars,Mars,Distance
19,how much do astronauts make,Astronaut,Salary
20,how to be an astronaut,Astronaut,Application
21,does mars have an atmosphere,Mars,Astrophysics
22,what are the layers of the atmosphere,Earth,Atmosphere
23,where is the international space station,Satellites,ISS
24,how long does it take to get to space,Space Exploration,
25,who was the first man in space,Space Exploration,History
26,where is the iss now,Satellites,ISS
27,what does mars look like,Mars,Summary
28,when can you see mars,Mars,Night Sky
29,is mars in retrograde,Mars,Night Sky
30,what does atmosphere mean,Astrophysics,Atmosphere
31,does the moon have an atmosphere,Moon,Atmosphere
32,who was the first american in space,Space Exploration,History
33,can you see mars tonight,Mars,Night Sky
34,when was mars discovered,Mars,Summary
35,what does orbit mean,Solar System,Orbit
36,can you see the great wall of china from space,Satellites,Man-made Objects Seen From Space
37,what is the size of mars,Mars,Size
38,what is the diameter of mars,Mars,Size
39,how long does it take mars to orbit the sun,Solar System,Orbit
40,can we live on mars,Mars,Human Capabilities
41,what is the atmosphere of earth,Earth,Atmosphere
42,where is the asteroid belt,Solar System,Asteroid Belt
43,who was the first woman in space,Space Exploration,History
44,why space is black,Astrophysics,
45,how far is space,Earth,Atmosphere
46,how big is the international space station,Satellites,ISS
47,how many light years away is mars,Mars,Distance
48,how big is mars compared to earth,Mars,Size
49,where is mars in the sky,Mars,Night Sky
50,why is mars called the red planet,Mars,Color
51,does mars have water,Mars,
52,what is a rover,Space Exploration,
53,does mercury have an atmosphere,Mercury,Atmosphere
